file,gt,emotion_before,prob_before,emotion_after,prob_after
angry/angry_0005.jpg,angry,angry,0.9942,angry,0.995
angry/angry_0151.jpg,angry,angry,0.956,fear,0.6978
angry/angry_0181.jpg,angry,fear,0.6936,sad,0.8859
angry/angry_0301.jpg,angry,angry,0.9135,angry,0.5876
angry/angry_0343.jpg,angry,angry,0.9657,fear,0.8158
angry/angry_0350.jpg,angry,angry,0.9076,angry,0.9814
angry/angry_0364.jpg,angry,surprise,0.5618,surprise,0.9869
angry/angry_0582.jpg,angry,angry,0.991,angry,0.9786
angry/angry_0591.jpg,angry,angry,0.8355,angry,0.4908
angry/angry_0617.jpg,angry,angry,0.9296,angry,0.3464
angry/angry_0651.jpg,angry,angry,0.7798,sad,0.6609
angry/angry_0661.jpg,angry,angry,0.9505,angry,0.9759
angry/angry_0699.jpg,angry,angry,0.7905,angry,0.9181
angry/angry_0736.jpg,angry,sad,0.8861,sad,0.8781
angry/angry_0781.jpg,angry,angry,0.5441,sad,0.4071
angry/angry_0790.jpg,angry,angry,0.3451,surprise,0.3918
angry/angry_0976.jpg,angry,sad,0.714,angry,0.7869
angry/angry_1050.jpg,angry,angry,0.9982,angry,0.881
angry/angry_1164.jpg,angry,sad,0.7261,neutral,0.8776
angry/angry_1250.jpg,angry,angry,0.9052,sad,0.5195
angry/angry_1293.jpg,angry,angry,0.8129,sad,0.7258
angry/angry_1347.jpg,angry,angry,0.7291,surprise,0.6175
angry/angry_1689.jpg,angry,angry,0.4116,sad,0.8574
angry/angry_1692.jpg,angry,sad,0.4577,sad,0.575
angry/angry_1772.jpg,angry,angry,0.9879,angry,0.9442
angry/angry_2030.jpg,angry,angry,0.986,surprise,0.7706
angry/angry_2047.jpg,angry,angry,0.9925,angry,0.9403
angry/angry_2203.jpg,angry,surprise,0.4221,sad,0.3422
angry/angry_2206.jpg,angry,neutral,0.9932,neutral,0.92
angry/angry_2228.jpg,angry,angry,0.9006,sad,0.514
angry/angry_2295.jpg,angry,angry,0.9791,angry,0.9997
angry/angry_2333.jpg,angry,angry,0.4471,angry,0.774
angry/angry_2340.jpg,angry,sad,0.9759,sad,0.8841
angry/angry_2496.jpg,angry,surprise,0.9446,sad,0.509
angry/angry_2782.jpg,angry,sad,0.656,sad,0.9844
angry/angry_2843.jpg,angry,angry,0.9719,angry,0.957
angry/angry_2861.jpg,angry,neutral,0.5585,sad,0.8042
